filename,SliceID
3_7358_0011,3__CT-7358-0011
3_7358_0012,3__CT-7358-0012
3_7358_0013,3__CT-7358-0013
3_7358_0015,3__CT-7358-0015
3_7358_0021,3__CT-7358-0021
8_8871_0008,8__CT-INSPIRIUM-8871__CT-8871-0008
8_8871_0009,8__CT-INSPIRIUM-8871__CT-8871-0009
8_8871_0010,8__CT-INSPIRIUM-8871__CT-8871-0010
8_8871_0011,8__CT-INSPIRIUM-8871__CT-8871-0011
8_8871_0012,8__CT-INSPIRIUM-8871__CT-8871-0012
8_8871_0013,8__CT-INSPIRIUM-8871__CT-8871-0013
8_8871_0014,8__CT-INSPIRIUM-8871__CT-8871-0014
8_8871_0015,8__CT-INSPIRIUM-8871__CT-8871-0015
8_8873_0003,8__CT-INSPIRIUM-8873__CT-8873-0003
8_8873_0004,8__CT-INSPIRIUM-8873__CT-8873-0004
8_8873_0005,8__CT-INSPIRIUM-8873__CT-8873-0005
8_8873_0008,8__CT-INSPIRIUM-8873__CT-8873-0008
8_8873_0009,8__CT-INSPIRIUM-8873__CT-8873-0009
8_8873_0010,8__CT-INSPIRIUM-8873__CT-8873-0010
8_8873_0011,8__CT-INSPIRIUM-8873__CT-8873-0011
8_8873_0012, None
8_8873_0013,8__CT-INSPIRIUM-8873__CT-8873-0013
8_8873_0014,8__CT-INSPIRIUM-8873__CT-8873-0014
8_8873_0015, 8__CT-INSPIRIUM-8873__CT-8873-0015
,            17__CT-1376-0010
12_0921_0009,17__CT-1376-0011
12_0921_0010,19__CT-0002-0015
12_0921_0012,19__CT-0002-0016
12_0921_0013,19__CT-0002-0017
12_0921_0015,51__CT-0003-0022
17_1376_0010,53__CT-INSPIRIUM-1841__CT-1841-0011
17_1376_0011,53__CT-INSPIRIUM-1841__CT-1841-0012
19_0002_0015,53__CT-INSPIRIUM-1841__CT-1841-0013
19_0002_0016,53__CT-INSPIRIUM-1841__CT-1841-0014
19_0002_0017,53__CT-INSPIRIUM-1841__CT-1841-0015
21_2336_0009,53__CT-INSPIRIUM-1841__CT-1841-0016
21_2336_0010,53__CT-INSPIRIUM-1841__CT-1841-0017
21_2336_0011,53__CT-INSPIRIUM-7605__CT-7605-0004
21_2336_0012,53__CT-INSPIRIUM-7605__CT-7605-0005
21_2336_0014,53__CT-INSPIRIUM-7605__CT-7605-0006
21_2336_0015,53__CT-INSPIRIUM-7605__CT-7605-0007
46_0002_0007,53__CT-INSPIRIUM-7605__CT-7605-0008
46_0002_0008,56__CT-6817-0006
46_0002_0013,56__CT-6817-0007
46_0002_0015,56__CT-6817-0008
51_0003_0022,56__CT-6817-0009
53_1841_0011,56__CT-6817-0010
53_1841_0012,56__CT-6817-0011
53_1841_0013,56__CT-6817-0012
53_1841_0014,56__CT-6817-0013
53_1841_0015,56__CT-6817-0014
