SliceID,SliceData,Class
101__CT-0002-0001,"[[-2000. -2000. -2000. ... -2000. -2000. -2000.]
 [-2000. -2000. -2000. ... -2000. -2000. -2000.]
 [-2000. -2000. -2000. ... -2000. -2000. -2000.]
 ...
 [-2000. -2000. -2000. ... -2000. -2000. -2000.]
 [-2000. -2000. -2000. ... -2000. -2000. -2000.]
 [-2000. -2000. -2000. ... -2000. -2000. -2000.]]",0
101__CT-0002-0002,"[[-2000. -2000. -2000. ... -2000. -2000. -2000.]
 [-2000. -2000. -2000. ... -2000. -2000. -2000.]
 [-2000. -2000. -2000. ... -2000. -2000. -2000.]
 ...
 [-2000. -2000. -2000. ... -2000. -2000. -2000.]
 [-2000. -2000. -2000. ... -2000. -2000. -2000.]
 [-2000. -2000. -2000. ... -2000. -2000. -2000.]]",0
101__CT-0002-0003,"[[-2000. -2000. -2000. ... -2000. -2000. -2000.]
 [-2000. -2000. -2000. ... -2000. -2000. -2000.]
 [-2000. -2000. -2000. ... -2000. -2000. -2000.]
 ...
 [-2000. -2000. -2000. ... -2000. -2000. -2000.]
 [-2000. -2000. -2000. ... -2000. -2000. -2000.]
 [-2000. -2000. -2000. ... -2000. -2000. -2000.]]",0
101__CT-0002-0004,"[[-2000. -2000. -2000. ... -2000. -2000. -2000.]
 [-2000. -2000. -2000. ... -2000. -2000. -2000.]
 [-2000. -2000. -2000. ... -2000. -2000. -2000.]
 ...
 [-2000. -2000. -2000. ... -2000. -2000. -2000.]
 [-2000. -2000. -2000. ... -2000. -2000. -2000.]
 [-2000. -2000. -2000. ... -2000. -2000. -2000.]]",0
101__CT-0002-0005,"[[-2000. -2000. -2000. ... -2000. -2000. -2000.]
 [-2000. -2000. -2000. ... -2000. -2000. -2000.]
 [-2000. -2000. -2000. ... -2000. -2000. -2000.]
 ...
 [-2000. -2000. -2000. ... -2000. -2000. -2000.]
 [-2000. -2000. -2000. ... -2000. -2000. -2000.]
 [-2000. -2000. -2000. ... -2000. -2000. -2000.]]",0
101__CT-0002-0006,"[[-2000. -2000. -2000. ... -2000. -2000. -2000.]
 [-2000. -2000. -2000. ... -2000. -2000. -2000.]
 [-2000. -2000. -2000. ... -2000. -2000. -2000.]
 ...
 [-2000. -2000. -2000. ... -2000. -2000. -2000.]
 [-2000. -2000. -2000. ... -2000. -2000. -2000.]
 [-2000. -2000. -2000. ... -2000. -2000. -2000.]]",1
101__CT-0002-0007,"[[-2000. -2000. -2000. ... -2000. -2000. -2000.]
 [-2000. -2000. -2000. ... -2000. -2000. -2000.]
 [-2000. -2000. -2000. ... -2000. -2000. -2000.]
 ...
 [-2000. -2000. -2000. ... -2000. -2000. -2000.]
 [-2000. -2000. -2000. ... -2000. -2000. -2000.]
 [-2000. -2000. -2000. ... -2000. -2000. -2000.]]",0
101__CT-0002-0008,"[[-2000. -2000. -2000. ... -2000. -2000. -2000.]
 [-2000. -2000. -2000. ... -2000. -2000. -2000.]
 [-2000. -2000. -2000. ... -2000. -2000. -2000.]
 ...
 [-2000. -2000. -2000. ... -2000. -2000. -2000.]
 [-2000. -2000. -2000. ... -2000. -2000. -2000.]
 [-2000. -2000. -2000. ... -2000. -2000. -2000.]]",1
101__CT-0002-0009,"[[-2000. -2000. -2000. ... -2000. -2000. -2000.]
 [-2000. -2000. -2000. ... -2000. -2000. -2000.]
 [-2000. -2000. -2000. ... -2000. -2000. -2000.]
 ...
 [-2000. -2000. -2000. ... -2000. -2000. -2000.]
 [-2000. -2000. -2000. ... -2000. -2000. -2000.]
 [-2000. -2000. -2000. ... -2000. -2000. -2000.]]",0
101__CT-0002-0010,"[[-2000. -2000. -2000. ... -2000. -2000. -2000.]
 [-2000. -2000. -2000. ... -2000. -2000. -2000.]
 [-2000. -2000. -2000. ... -2000. -2000. -2000.]
 ...
 [-2000. -2000. -2000. ... -2000. -2000. -2000.]
 [-2000. -2000. -2000. ... -2000. -2000. -2000.]
 [-2000. -2000. -2000. ... -2000. -2000. -2000.]]",0
